Date,Company,Review,sentiment,reason
03/01/2024,British Gas,"Worst energy company I've ever had. They had 3 meters attached to my bill, it took them 6 months to fix it, which resulted in me getting a Â£3,000 bill. They did finally amend it when I moved out, but ignored my final meter reading and estimated higher usage. Every time I spoke to a member of the team I'd be promised a call back, or a fix that never came. I raised a complaint against them, and yet still to hear anything back.",-90,"‘Worst energy company’, 6-month fix delay leading to £3,000 bill, ignored callbacks and complaints"
03/01/2024,British Gas,"Have been a customer for 10 years with no issue. In October I received an email to say theyâ€™d moved me to a new system. Since then Iâ€™ve had constant issues. No bill generated for 2 months. I had to contact them 4 times and theyâ€™ve now created 2 separate bills, I contacted again and was assured only1 of these was due to be taken by direct debit. Today theyâ€™ve taken both - which is an overpayment of Â£300. Have called again to be met with an advisor that cannot answer what is happening with my bill or why theyâ€™ve taken Â£300 extra, cannot answer what alternative payment options there are if I cancel my direct debit. My smart meter has also stopped supplying readings since the system move and they are still yet to send an engineer to sort this. This is now the 7th time Iâ€™ve called in the last month and still have no resolution. Think I will need to move energy companies based on this.UPDATE - the reply to this review advised me to contact via Facebook. Iâ€™ve done so and surprise surprise theyâ€™re unable to help as Iâ€™m on the new system. â€œA specialist teamâ€ need to deal with customers on the new system and they are incapable and have no idea what they are doing. An absolute joke. Why have I been moved systems after 10 years to one that clearly doesnâ€™t work?",-80,"10 years issue-free then months of billing errors, overpayments, 7 unresolved calls, ‘absolute joke’"
03/01/2024,British Gas,I am in a lot of debt with British Gas for some reason. After many calls of explaining how my meter is wrong and has bitumen coming from it I still havnt had this problem resolved. I was offered a smart meter but nobody after staying in all day nobody  turned up. when I called I was told the appointment had been cancelled but wasn't informed. My meter is clearly at fault and the person on the phone thought I lived in a house of substantial size at one point trying to change my DD to Â£600 a month!,-70,"Meter fault unresolved, debris issues, missed smart-meter appointment, excessive DD proposal"
03/01/2024,British Gas,"The biggest problem was getting through to an advisor, the automated service doesnâ€™t give many options, and it took me 12 attempts to give my telephone number before it was finally recognised. Having said that, once I was put through to the correct person to help me, the help was great",30,"Frustrating automated service but once connected, advisor help was great"
03/01/2024,British Gas,"AWFUL! DO NOT GO WITH BRITISH GAS!Received a bill for Â£200.00 standing charge for my Mum, from the date she passed away. This also, despite her property being empty and no electricity used.When I queried this the person I spoke to REFUSED to understand how morally questionable this was and would not answer any of my questions. That person was was robotic in her responses, as if reading from a script and even got some of her facts wrong.One plea to all staff  - please think for yourself; have some integrity and stop being like Lemmings. Do what is Right!I WOULD HAVE GIVEN 0 IF I COULD HAVE DONE.ALSO NOTE THAT BRITISH GAS HAS THE SECOND HIGHEST STANDING CHARGE ORF THE SIX. BE WARNED!",-95,"‘AWFUL!’, billing for deceased mother, refusal to answer questions, scripted responses"
03/01/2024,British Gas,Rang them today to give my Solar Panel readings and was soon put through lady was very polite and dealt with quickly and let me know how much I was getting and performance of panels,70,"Polite, efficient handling of solar readings with clear performance info"
03/01/2024,British Gas,Absolutely appalling now I've spoken to them again and now they say another 7 to 14 days to receive so they are frauds and liars u don't get ure money within in ten days they take nearly 3 weeks to get ure money back they only sorted the refund on boxing day if could give no stars I would,-85,"Delayed refund labelled ‘frauds and liars’, refund took 3 weeks, zero-star sentiment"
03/01/2024,British Gas,"Engineer was polite, friendly and proficient explaining what he was doing when asked, he also gave useful information about how to reduce household costs, the time taken to replace the new smart meter was as advised, a good service was provided",80,"Polite, friendly and proficient engineer, clear cost-saving advice, timely service"
03/01/2024,British Gas,Keep getting promised account will be reset never happens paying for service not able to use,-60,"Repeated promises to reset account never fulfilled, paying for unusable service"
03/01/2024,British Gas,Took over an hour and 3 advisors to submit a meter reading- the new online system does not work and needs sorting out pdq! The first advisor could not access my account because it had been migrated to the new system so transferred me to another department but his headset mike was not working and sounded as if he had it in his mouth so I couldnâ€™t hear anything clear enough to speak- he transferred me back to the original department and after waiting another 25 minutes got through to a very helpful advisor who took my reading. Itâ€™s not the advisorâ€™s fault but do not keep telling people that the easiest way to manage your account is online if the online account does not work.,-70,"Over an hour, 3 advisors due to new system failures, online account not working"
03/01/2024,British Gas,PERFECT!Explained contract/direct debit extremely well & reassured me my Plan 3 will remain the same other than applying a 10% discount. The whole process was explained clearly & professionally so I shall remain a British Gas customer.Well done to lady on your team I spoke to.,85,"‘PERFECT!’, clear and professional explanation, reassurance on discount and plan"
03/01/2024,British Gas,"Left after being a costumer for 3 years. Awful costumer support, felt like my query was not listened to at all. Being charged twice for the same month's supply to then be told that it was correct. Who pays over Â£550 in electric and gas in a space of 4 weeks? Awful. And somehow after complaining I still got another bill of Â£42 to be paid!! It's like I got charged for complaining and asking questions. Staff full of attitude and not compassionate at all, felt like I was talking to robots rather than human beings.",-85,"Awful support, double charging, unlistened queries, attitude and lack of compassion"
03/01/2024,British Gas,"After initial problems making contact, BG solved my meter and supply problems quickly and the call staff and engineer were very competent.",70,"Quick resolution of meter and supply issues, competent staff and engineer"
03/01/2024,British Gas,If I could give 0 stars I would. Also most of good reviews on here are fake you check other review sites on Google trust me you will see the difference. That's my opinion anyway. Look at other review sites about BG on Google search and you will see what I mean. They messed me around over swapping from prepayment to credit. Then told me that I owed then Â£550 but in fact they owed me that. I moved to Octopus ðŸ™ best energy provider out there. If you join them and have a smart meter I recommend there daily tracker tarriff as since I have been on it I've paid no more then 21p per kwh and minimum for one day was 9p per kwh,-80,"‘0 stars’ BG blamed me for their error, forced to switch providers, distrust reviews"
03/01/2024,British Gas,Fantastic supplier.  Always on hand to help.  Brilliant response.,80,"‘Fantastic supplier’, always helpful, brilliant response"
03/01/2024,British Gas,"Moved in to a new property which unfortunately is currently with British gas. Have tried to call since moving in.  Coming up to 1 whole month of living here now and every time I call I cannot speak to someone. Just an automated voice saying ""can't answer right now call back later"" and clears the line. Really really poor service. I will 100% change to another provider.",-75,"Unable to reach anyone by phone for nearly a month, automated dead-end replies"
03/01/2024,British Gas,"British Gas took nearly Â£500 without warning or reason from my bank account. After hours of phone calls, web chats and incredibly poor customer service- I was told that British Gas were at fault and the payment had been taken in error.I was told to raise an indemnity claim with my bank which I did. However British Gas refused to send me the email confirmation in the format as my bank had requested (A non editable email). I know have to wait 5 working days to hopefully have my money returned. Interestingly when I complained they ignored the point of my compliant  which included  that I have been charged late payment fees for other bills due to them fraudulently taking my money and basically dismissed the fact that I am paying for their mistake! Best of all the email about my complaint was in the format that they swore blind they were unable to use! Absolutely disguising, what was the benefit to the customer when they updated the system?They tell you to raise things via twitter, Facebook  (I donâ€™t have these) or use the web chat- the web chat is just as useless as phoning them!",-80,"£500 taken in error, poor follow-up, ignored complaint points, system and web-chat useless"
03/01/2024,British Gas,"My advisor was a star! He knew exactly what to do and had us sorted and our supply restored, in around 10 minutes. Fabulous stuff!",75,"Advisor was a star, resolved supply restoration in 10 minutes, ‘fabulous’"
03/01/2024,British Gas,Lack of information to answer my question about my dill,-40,‘Lack of information’ preventing answer to billing question
03/01/2024,British Gas,"My credit/overpayment was not refunded to me when requested. Terrible customer service and will be looking into to this all again soon, such a pain and very time consuming trying to get to the bottom of the pure unclarity of this company's ethos.",-80,"Overpayment not refunded, terrible service, time-consuming and unclear process"
02/01/2024,British Gas,"Im so disappointed with costumer service. To my surprise, I received a notification (via email only) stating that there is an outstanding balance on my account dating back to more than seven years ago! and I have 2 weeks to pay. Unfortunately, I have no recollection of any unpaid bills from that period, and I find this situation perplexing and distressing. I have not received any letters reminding me of my overdue bills.  I wrote a complaint a month ago and have not received a response yet. Tried talk to someone via chat but they have no access to my account? Srsly?",-80,"‘disappointed’ ‘distressing’ experience, no response"
02/01/2024,British Gas,"British Gas is the last company I will be using, their customer service is so poor, they lie on the phone, they make up estimated bills, rob you, advise something and donâ€™t do thing, I have zero faith in this company, never join British Gas, they are a disgrace to this country.",-90,"‘poor service’, ‘lie’, ‘disgrace’ strong insults"
02/01/2024,British Gas,"Update. I have cancelled my gas & electric accounts. I tried multiple times to sort out my gas account so that I could submit meter readings but to no avail. I was getting further in debt due to estimated bills which was causing me stress because I didnâ€™t know how much that would turn out to be. Luckily my final bill wasnâ€™t too bad but only cos I managed the move and not thru any help/interest in helping from British Gas. Iâ€™m really disappointed because I have been a continuous customer my entire adult life. Too badMy electric account has moved over to the new system however this has meant that I canâ€™t access my gas account which has not been transferred Iâ€™ve contacted customer services via phone and chat. Iâ€™ve been fobbed off with various excuses, the last being that my gas account is frozen and will be transferred in 28 days. I didnâ€™t believe that at the time and waited 28 days to get in touch againAfter waiting in a chat Q of 497 I was told there was probably an error stopping the transfer. That was it. Thatâ€™s all Sophie could tell me as she couldnâ€™t access the old system. She gave me a link to a chat that could help but guess what. It didnâ€™t!  Iâ€™m thinking of transferring my gas account away from BG to save them the non effort of fixing the issue!Iâ€™ve been with BG for over 40 years.  Such a shame. Iâ€™m really unhappyUpdate. I contacted BB via Facebook and received the same response that my gas account is being transferred soon. This is useless cos it doesnâ€™t resolve my problem or give my any confidence that it will ever transfer",-80,"‘really disappointed’, ‘stress’, unresolved issues"
02/01/2024,British Gas,"Rubbish service, I moved into a new property and rang them up,  4 months no account activation, my electricity had to be cut off twice as I couldnâ€™t top up. All the agents kept telling me stories. Just donâ€™t attempt signing up with them.",-70,"‘Rubbish service’, cut offs, sign-up failures"
02/01/2024,British Gas,"Complaint Number:  03778010 Complaint raised after a ludicrously high bill (which eventually was acknowledged as being over by several hundred pounds), is now being ignored after 14 emails and 4 1/2 hrs of hold time. Requests for a subject access report are ignored as well. Insanely atrocious service. Try FloGas, they are totally on the ball. Energy ombudsman it is I guess.",-85,"‘ludicrously high bill’, ignored requests, ‘atrocious service’"
02/01/2024,British Gas,Help me straight away  put money on my meters till I get payed,0,"neutral request for help, no sentiment"
02/01/2024,British Gas,"Persevered with wait on phone, but when I got through great and knowledgeable advisers, very friendly sorted my problem quickly. Couldn't thank them enough",80,"‘great and knowledgeable advisers’, very friendly"
02/01/2024,British Gas,I had contact with British Gas because my supply had been gone off and they sorted it out for me straight away,70,"quick resolution, sorted out straight away"
02/01/2024,British Gas,I have never had any problems with my Gas meter though it is old and the top up has always happened and topping up the meter as well.For those with financial difficulties the meter gives allowance to give credit and on topping up to,60,"no problems, reliable top-up meter described positively"
02/01/2024,British Gas,Absolutely awful customer service. I was significantly in credit when my final bill was due when moving address. They refunded too much which I didn't even notice until the threatening letters started to arrive! Then over 3 hours holding on the phone to try to work out what had happened and resolve it and not even an apology for what was their mistake and wasted my time. They even suggested I should have flagged the error - so now their mistakes are the customer's fault - great job!!,-80,"‘absolutely awful customer service’, long hold, no apology"
02/01/2024,British Gas,"The advisor that I spoke to regarding getting a replacement  card for my gas meter was very polite professional, and did all that she could do to get my problem solved for me as quickly as possible. I am very happy.",80,"polite, professional advisor solved problem quickly"
02/01/2024,British Gas,"What has British Gas become, just wish all the so called managers tried using the new app , if you say this is working well, ask yourselves for how not your customers the old app would show you daily usage, the new old tells you two things your account number and your direct debit, yes you can tell me itâ€™s in the development stages, but for a year, please try using the app yourselves and tell yourselves you think is good then your standard are very low. a very disappointed customer",-70,"‘disappointed’, poor app functionality, low standards"
02/01/2024,British Gas,"I have been with BG for the past 14 years or so and it was never this bad! I have been moved to the new ""improved billing system"" and that's where issues started. Very quickly realized they have amended my billing and DD date without asking me first. Just randomly selecting the date!! After sorting the dates all seemed fine until now! I've just checked my account and money should be deducted on 1st of each month but nothing was taken!! Again, will they randomly take money of my account despite having DD set correctly?? ## UPDATE: after talking to customer service, it turns out BG has not migrated my DD mandate correctly hence no money was taken. This means I will need pay two bills next month after they inform the bank!! Absolute joke of a company!!The new bills are so confusing to read sometimes. I'm on variable DD and my bill says ""we will regularly review your payment amount of Â£0.00 to make sure you're on track to cover your expected energy use"".  Does this make any sense since I'm on variable DD and therefore pay for what I use? This looks like I'm not paying anything each month!! Talking to customer service is like chinese whispers. Absolutely useless. They don't know how to answer some questions or don't the info on the system. Don't even get me started on the new pathetic app! You can clearly see this was rushed as they were under pressure to release the app with just basic functionality!  Will be calling Octopus tomorrow as this is beyond joke and I had enough of calling customer service",-90,"‘absolute joke’, billing errors, incompetent service"
02/01/2024,British Gas,"Being 5 months since I first complained about my smart meter not working.After a long chain of back and forth they figured it was a fault on their system and an engineer should come to fix it...Again, has being 5 months and my smart meter is still not working, today I am paying an estimated bill (again)...",-75,"5-month unresolved smart meter fault, estimated billing"
02/01/2024,British Gas,If the right hand knew what the left was doing it would help customers. Twice I have been given advice that was inaccurate and caused distress. Each advisor gives a different account of what's gone wrong and what will happen next. Only one out of six seemed to know the correct answer. More training needed.By the way the date of experience was 20/12/23 till 02/01/24To get a response from British gas I have to jump through hoops on social media or talk to the bot. Very customer friendlyMy son has been cut off again today. No reason for this as your advisor says he is paying by direct debit and is credit. He's now got 4 hour miminium to wait for an engineer3 hours later and still don't know if an engineer will come5pm still no engineer has come. My son who has a learning disability has to sit in the dark with no heatingIt gets better direct debits have been taken from my son's account when he has a pay as you go meterLatest update is he doesn't have an account. What a joke bunch you are,-90,"inaccurate advice, repeated distress, no heating for disabled"
02/01/2024,British Gas,Absolutely shocking service. My meter hasn't worked properly for about 3 months now and I have trying to get sorted and today after about 5 conversations with them over the months that I won't have electricity until they can get an engineer out. I have no way to store food to feed my kids and they don't compensate! Do not go with British gas for your own sake,-90,"no electricity, ‘shocking service’, extreme inconvenience"
03/01/2024,British Gas,"Iâ€™m seeing adverts for Scottish Gasâ€¦.. Do you sell English Gas, how do I buy that!",0,"neutral inquiry, confused question without sentiment"
03/01/2024,British Gas,Useless customer service. It's not possible to contact them via email so that they avoid leaving traces of their inability to run the business. They were not able to complete a switch and they failed to close my account. I am paying for an utility where i do not leave anymore. USELESS AVOID at any cost,-80,"‘useless customer service’, failed switch, overpaid utility"
03/01/2024,British Gas,"November 6th 2023 my gas meter stopped working, stated fail on the screen. I called British Gas who straight away said I need a smart meter fitted. Without checking if it was my boiler the engineer began taking out my old meter but then couldn't finish the job as he couldnt locate the ""main fuse"". He fitted a temporary meter which cannot be topped up and I was told I have to contact my local authority to find out where it is before they can go any further. Fast forward to today 3rd January 2024, smart meter still hasn't been fitted as local authority are just as incompetent. It is practically impossible to get both agencies here at the same time, let alone find out where anything is. I'm at a loss now. I work 8am til 6pm, so can't constantly call companies to try and sort this out. Its so stressful. Why can't British Gas and the local authority work together to complete what really should be an easy task?",-70,"meter failure, poor coordination, stressful process"
03/01/2024,British Gas,"I took all 4 accounts one by one first to Bulb now Octopus, and things finally are in order - after several years of mayhem with British Gas.The last straw was total incompetence of the final bill resolution at British Gas.We took several months to refurbish the property, during which time we didnâ€™t use any gas. BG first installed smart meters, supposedly to make readings easier, but due to poor installation â€“ meters were not reachable to them. I provided several actual readings but they were never accepted, even after escalations, and BG proceeded to estimate - totally incorrectly.I decided to close the account and provided final readings, with photos, which again were not accepted, and the final bill was re-sent as expected â€“ OVERESTIMATED.I complained again but nothing happened and things were turned to debt collectors, from whom I now  receive regular threats, which is outrageous.I then raised a complain through Resolver (case RES10727320), to which I finally received an acknowledgement from BG that they are looking into it within 21 days.30+ days came and went and not a single response. I now escalated it further and awaiting Ombudsman involvement, who I hope will look into the company properly for once.If you do not wish to repeat this torture (plus many other examples with BG home care mismanagement, failed appointments/maintenance/obligation etc etc) â€“ please consider other providers immediately.Total shambles, stress and mistreatment by BG.",-90,"‘incompetence’, overestimation, threats, ‘total shambles’"
01/01/2024,British Gas,Can not give meter reading due today which they tell me is important as it is 1st Jan.Can not access my account on their new system.,-30,Unable to submit meter reading and can’t access new account system
01/01/2024,British Gas,"British Gas complaints team cannot deal with my complaint regarding British Gas owing me a refund for over 6 months from when I changed from pre-pay electric meter to credit direct debit account.  They have failed to resolve after several calls, emails & live chats since June23.  The complaints team have now suggested I contact the same team who Iâ€™ve contacted several times without any resolution.   BG obviously want me to give up requesting my refund so they can pocket it.  Please do not sign up with British Gas.  The Customer Service is non existent and there app & customer account platform is basic.  I will persevere with my complaint including the ombudsmen then move providers.   Date of awful experience is from June 23 to Jan 24 and still going.UPDATE - I have just submitted my case to the Ombudsman for them to try to resolve the issue.    I had given BG warning that I was going to submit the case to the Ombudsman but that has not prompted any action.   So ongoing from June 23 to 23/2/24 and still going.      British Gas are also trying to block customers moving to new providers by not updating the National Energy Database when Pre-Payment accounts are no longer in place at an address.    This blocking movement to another provider.   ",-90,"Six-month refund dispute unresolved despite calls, emails, chats"
01/01/2024,British Gas,"Please advise with legitimate reasoning, why an increase of energy prices is required this 1st quarter of 2024!?!?!? British Gas PROFITS (not just revenue) increased near 900% in 2023, PLEASE ADVISE THEREFORE WHY ANY INCREASE IN PRICES ARE REQUIRED !?!?!?!? ðŸ¤¬ Wholesale gas prices are also currently low!!!!!! Why are you ripping off your customers, Energy should be nationalised, so profits are not for greedy corporate CEO's & Shareholders!!!!! ðŸ¤¬",-80,"Angry at price hikes despite huge profit increase, accuses ‘ripping off’ customers"
01/01/2024,British Gas,Contacted British gas re a statement that claimed I was 2500Â£ in debit.After 20mnts on the phone Response was that readings were correct and that I was responsible for checking my usage although after 3 years each statement recorded that I had a positive balance..and suddenly in 2023 my annual statement lurched from 890Â£ to 5500Â£..this happened when they upgraded everybody to a new billing system!! contacting ombudsman ..,-70,"Large unexpected £5.5k bill after system upgrade, long phone wait"
01/01/2024,British Gas,"THIS IS THE WORST CUSTOMER SERVICE COMPANY EVER.  My complaint has still not been resolved and keeps getting closed. Every time I reply to an email sent by British Gas I get a No Reply email straight back. No one takes responsibility or ownership of my issue. British Gas have blatantly over charged me, they canâ€™t and wonâ€™t provide me with a breakdown of the costs and have now added this debt to my account. I have Ben a British Gas customer at the same address for 18 years and never had any issues until now. Lily initial complaint/fault was logged in October 2020! Yes two and a half years ago. Iâ€™m sure we canâ€™t blame Covid now. Avoid this company and look elsewhere. In response to your reply You must be joking. Why is British Gas not taking ownership and contacting meOk Iâ€™ve tried on socials and nothing, just confirming what an absolute joke of a company and shambles of a customer service. Your reply counts for nothing and I hope people read my review and think twice before going to British Gas. You think you can sort this then give me an email address I can message that doesnâ€™t automatically send me a â€˜No Replyâ€™ email straight backITS NOW MARCH 2024 AND STILL NO ONE HAS CONTACTED ME EVEN AFTER TOUR REPLY TO MY ORIGINAL POST.I HOPE THIS GOES TO OROVE WHAT AN ABSOLUTE JOKE OF A COMPANY YOU ARE.ONE PERSON HAS GOT BACK TO ME TO ONLY SAY IT BEEN PASSED TO ANOTHER DEPARTMENT. THEY DID NOT EVEN HAVE THE DECENCY TO TALK TO ME OR EVEN REPLY TO MY DIRECT EMAIL. WILL BE INTERESTING TO SEE IF YOU REPLY TO THIS",-95,"‘Worst customer service ever’, two-and-a-half year unresolved complaint"
02/01/2024,British Gas,"Newly updated BG app, so called improvement? Honestly, how management who are responsible for these updates get a wage for creating this crap is a joke, come on BG, remember what your core commitment is and what your end users require",-60,"App update criticized as ‘crap’, mocks management"
02/01/2024,British Gas,"I have been trying to submit a reading using the app for the past 4 days. It keeps saying ...oops. we gave a technical fault. I hope my readings will not be calculated on the new tariff, which increases today.",-40,Four days of failed meter readings due to technical fault
02/01/2024,British Gas,Finally BG provided the service I expected from them by replacing a Smart Meter that didnâ€™t work.,60,Smart meter replacement delivered as expected
02/01/2024,British Gas,"For anyone not getting anywhere with British Gas complaints department and atrocious customer service I recommend raising it with the Ombudsman, I have done this and they are helpful.",50,Ombudsman recommendation praised as helpful against poor complaints service
02/01/2024,British Gas,Tried to submit a meter reading and have not been able to as my account cannot be found went on to live chat what a waste of time just says log in to your account after saying it was not recognised have now tried for an hour and give up,-40,"Account not found, live chat pointless when submitting meter reading"
02/01/2024,British Gas,"Good , fast answers  and follow up on smart meter problems, very impressed with replies etc",70,"Fast, good responses and follow-up on smart meter issue"
02/01/2024,British Gas,I hate British Gas. I have a misfortune of owning a rented property where BG was (no longer IS) supplier. Each time I have a tenant change it's an absolute PAIN to get the correct details to them. For them to issue correct bills etc. 2h on the phone today to give one tenant end day (new readings) and close date (readings) and issue a bill. Does it have to be THAT HARD!? Based on this alone I will NEVER EVER keep BG on any of my properties and I will always advice my tenants to look for alternative.,-75,"‘Absolute PAIN’ to update tenancy details, two-hour phone call"
02/01/2024,British Gas,"I was away over Christmas and New year ,when I came home my meter had no display and economy seven wouldn't run my storage heater , I rang the pay as you go helpline,  the phone answered straight away,  the operator was very kind and reassuring, I rang at 9 , a technician is on the way between 11 and  1 , I am disabled and can't breathe ,copd. And I have a brain injury .British gas electric wonderful,",80,"Immediate helpline answer, kind operator and prompt technician visit"
02/01/2024,British Gas,"Though I had a long waiting time before I got through. Had problems with the app, overall my problem was resolved, also happy that payments had been reduced and now paying both on Direct Debit, which makes the payments alot lower, plus I'm in credit as well, so that is helpful to know. Pleased with outcome. Even when got a message to say payment plan is cancelled.",60,"App issues resolved, payments reduced and in credit"
02/01/2024,British Gas,"I would never go near this company again! We brought a house in September 2023. British Gas in October sent us a huge bill. On the bill the charges where back dated until March 2022. I have sent in proof that we did not live or own the property until September 2023. They they tried to tell me that the previous owner was not paying their direct debits so the debt is now with us as the new home owners. With the previous owners permission I sent in to British Gas copies of their bank statements which showed the direct debits leaving their account. BG then tried to tell me that they where refunding the previous owners direct debits back to them each month (with no explanation as to why there where refunding the payments). The previous owners bank statements show differently. Two months this issue has been going on. I have been contacting them via email, phone online chat etc. Each time the advisor tells me that they have sorted the issue, thank you for my patience blah blah and yet here we are months later and nothing has changed. Since then BG have tried to put my monthly direct debits up so that the debt is cleared quicker. I really wouldn't advise using this company at all. Their customer service sucks. This morning I was offered a Â£5 credit to my account for my troubles. What an insult. Hours it has taken of my time so far not to mention the stress of dealing with the advisors.",-85,"Huge backdated bill despite proof of non-ownership, months of unresolved contact"
